School_Name,School_Section,Cca_Grouping_Desc,Cca_Generic_Name,Cca_Customized_Name
Eunoia Junior College,Junior College,Others,Students' Council,Na
Eunoia Junior College,Junior College,Physical Sports,Badminton,Na
Eunoia Junior College,Junior College,Physical Sports,Basketball,Na
Eunoia Junior College,Junior College,Physical Sports,Hockey,Hockey (Girls)
Eunoia Junior College,Junior College,Physical Sports,Netball,Netball (Girls)
Eunoia Junior College,Junior College,Physical Sports,Softball,Na
Eunoia Junior College,Junior College,Physical Sports,Squash,Na
Eunoia Junior College,Junior College,Physical Sports,Swimming,Na
Eunoia Junior College,Junior College,Physical Sports,Track & Field,Na
Eunoia Junior College,Junior College,Physical Sports,Table Tennis,Na
Eunoia Junior College,Junior College,Physical Sports,Tennis,Na
Eunoia Junior College,Junior College,Physical Sports,Volleyball,Na
Eunoia Junior College,Junior College,Physical Sports,Floorball,Na
Eunoia Junior College,Junior College,Visual And Performing Arts,Orchestra - Chinese,Chinese Orchestra
Eunoia Junior College,Junior College,Visual And Performing Arts,Choir,Na
Eunoia Junior College,Junior College,Visual And Performing Arts,Band - Symphonic,Symphonic Band
Eunoia Junior College,Junior College,Visual And Performing Arts,Drama - English,Drama
Eunoia Junior College,Junior College,Clubs And Societies,Debating And Oratorical Society,Debate
Eunoia Junior College,Junior College,Clubs And Societies,Outdoor Activities Club,Outdoor Adventure (Odac)
Eunoia Junior College,Junior College,Visual And Performing Arts,Dance Society,Dance
Eunoia Junior College,Junior College,Clubs And Societies,Robotics Club,Computing & Robotics
Eunoia Junior College,Junior College,Clubs And Societies,Media Resource Club,Media
Eunoia Junior College,Junior College,Clubs And Societies,Service Learning Club,Service Learning
Anderson Serangoon Junior College,Junior College,Physical Sports,Air Rifle / Shooting,Na
Anderson Serangoon Junior College,Junior College,Physical Sports,Badminton,Na
Anderson Serangoon Junior College,Junior College,Physical Sports,Basketball,Na
Anderson Serangoon Junior College,Junior College,Physical Sports,Hockey,Na
Anderson Serangoon Junior College,Junior College,Physical Sports,Netball,Na
Anderson Serangoon Junior College,Junior College,Physical Sports,Rockwall Climbing,Na
