School_Name,Url_address,Address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,MRT Station,Buses,Principal_Name,First_Vp_Name,Second_Vp_Name,Third_Vp_Name,Fourth_Vp_Name,Fifth_Vp_Name,Sixth_Vp_Name,Visionstatement_Desc,Missionstatement_Desc,Philosophy_Culture_Ethos,Dgp_Code,Zone_Code,Cluster_Code,Type_Code,Nature_Code,Session_Code,Mainlevel_Code,Sap_Ind,Autonomous_Ind,Gifted_Ind,Ip_Ind,Mothertongue1_Code,Mothertongue2_Code,Mothertongue3_Code,Special_Sdp_Offered
National Junior College,http://www.nationaljc.moe.edu.sg,37 Hillcrest Road,288913,64661144,na,64684535,na,NJC@MOE.EDU.SG,Botanic Gardens ,151| 154| 156| 157| 170| 170X| 171| 174| 66| 67| 67A| 67W| 74| 852| 961| 961C,Mr Ang Pow Chew,Mr Liong Huai Yu,Mr Harman Augustus Johll,Mr Tan Yong Liang,Na,Na,Na,Njcians Demonstrate Loyalty With Integrity; Scholarship With Creativity; Leadership With Sensitivity,College Of The Nation: Home Of Scholars And Leaders Who Serve With Honour,We Seek To Create A Joyful And Lively Learning Community For Students And Staff. Every Njcian Will Leave With A Distinctive And Memorable Experience. They Will Learn To Serve With Honour| To Be Loyal To Family And Singapore| To Be Leaders Sensitive To The Needs Of Others| And To Be Creative In Their Approach To Solving Problems. They Would Have Imbibed The Values Of Civility| Altruism| Resilience And Enterprise.,Bukit Timah,South,South 3,Government School,Co-Ed School,Full Day,Mixed Level,No,No,No,Yes,Chinese,Malay,Tamil,For The Integrated Programme (Junior High)| We Offer Language Arts (English & Literature)| Chemistry| Physics| Biology| Governance & Society| Mathematics (Both E And A Maths)| History| Geography| Higher Mother Tongue And Mother Tongue For The First 4 Years| As Well As Integrated Sciences| Thinking| And General Arts Programme (Art And Music) For The First 2 Years. Advanced Language Arts| Advanced Humanities And Man & Ideas Are Also Offered To Capable Students At Jh3 & Jh4. The College Offers A Wide Range Of Special Programmes In Various Domains. They Are: Spire (Special Programme In Inquiry And Research)| Research@Njc| Accelerated Mathematics| Advanced Sciences| Art Elective Programme (Aep)| Njc Music Programme| Enhanced Boarding Programme| Leadership|  Values-In-Action| Guidance Programmes| Humanities Scholarship Programme| Sapphire Programme And International Programmes.  Students May Also Offer A Third Language Outside Of College. Junior High 1 Students Undergo A Special Cca Programme Known As Cafe| Where Students Will Attend One Sports Or Performing Arts Cca In Term 1 And Another In Term 2 Before Deciding Which Cca To Join For The Rest Of The Jh (Sec) Years. Students May Also Join Any Cca Under The Talent Management Scheme.  Note That H1| H2 And H3 Subjects Listed Are Only Offered At Senior High (Jc Years).
Temasek Junior College,http://temasekjc.moe.edu.sg,22 Bedok South Road,469278,64428066,na,64428762,na,TEMASEK_JC@MOE.EDU.SG,Bedok ,12| 16| 31| 38| 47| 137| 155| 196| 197| 229,Mdm Sim Ay Nar,Mdm Tan Kia Huan,Mr Foo Yong Howe,Mr Mark Chan,Na,Na,Na,An Institute Of Distinction| A Dynamic Learning Culture|  A Caring Tjc Family,Broaden Minds| Touch Hearts| Enrich Lives,Every Tjcian Is Nurtured To Be A Trailblazer With A Heart. Mindful Of Tradition| Roused By Imagination And Fuelled By Ambition| Tjcians Are Active Learners| Caring And Committed Citizens And Ethical Leaders. Our Holistic Brand Of Temasek Excellence Equips Students With Intellectual| Moral And Social Capital To Thrive In A  Fast-Changing And Complex World. The College Achieved The School Distinction Award In 2015| With Best Practices For Teaching & Learning| Student All-Round Development| Staff Well-Being And Development| Character And Citizenship Education As Well As Partnership. Our Dynamic Staff Fraternity Continuously Innovate And Hone Our Craft| As We Guide Our Students To Bring Out The Best In Them. The Motto We Proudly Serve Is 'For College| For Nation'.,Bedok,East,East 2,Government School,Co-Ed School,Full Day,Mixed Level,No,No,No,Yes,Chinese,Malay,Tamil,The Tjc 6-Year Integrated Programme Provides A Seamless Progression Of Learning| Empowering Students Beyond The Basics By Exposing Them To Both Breadth And Depth Of Knowledge| Leading Up To The Gce A-Level Examination In Year 6. The Design Of The 6-Year Ip Curriculum Supports Integrative And Interdisciplinary Learning| Extending 'Beyond Basics' Through The Core Curriculum| 'Beyond Boundaries' Through Extended Learning And 'Beyond Self' Through Student Development. It Aims At Achieving 'Temasek Excellence'| Engendering In Students Greatness In Intellect| Character And Leadership. Ip Students Have A Plethora Of Programmes To Whet Their Appetites. Beginning From Ip1| The Temasek Academy Unbound Programme Develops Talented Students In Areas Of Mathematics| Sciences And English. Students Participate In A Variety Of Workshops| Talks And Seminars Conducted By Experts In Relevant Fields. Moreover| There Are Signature Ip Programmes Such As Those For Special Talent Areas (Academic| Aesthetics| Sports)| World Without Borders| Wonder.Observe.Weave! Attachment To External Organisations| Ace Cce Programme And Temasek Leadership Showdown.  In Addition| There Are Elective Programmes - Music Elective Programme (Year 1 To 6)| Chinese Language Elective Programme (Year 3 To 6) And Humanities Programme (Year 3 To 6) - Which Lead Outstanding Students To The Moe Scholarships At Year 5.
Victoria Junior College,http://www.victoriajc.moe.edu.sg/,20 Marine Vista,449035,64485011,na,64438337,na,victoria_jc@moe.edu.sg,Kembangan,13| 16| 31| 36| 43| 48| 55| 135| 196| 196e| 197,Miss Ek Soo Ben,Mr Gurusharan Singh S/O M Singh,Mr Cheong Tien Beng,Mr Hong Heng Yan,Na,Na,Na,Live Like A Victorian - Legendary Spirit - Visionary Leadership - Extraordinary Service,To Ignite The Imagination Of All Victorians To Create The Future With Conviction| Courage And Compassion,Na,Bedok,East,East 7,Government School,Co-Ed School,Full Day,Junior College,No,No,No,Yes,Chinese,Malay,Tamil,Arts Programme  Beyond Borders Programme Higher Education Guidance Programme Olympiad Training Programme Overseas Exchange Programme Scholarship And Mentoring Programme Victoria Science Research Talent Development Programme  Student Leadership Programme   Career Guidance And Work Attachment
Eunoia Junior College,http://www.eunoiajc.moe.edu.sg,53 Mount Sinai Road,276880,63518388,na,63518399,na,eunoiajc@moe.edu.sg,Buona Vista ,92| 100| 105| 106| 111| 147| 185,Mdm Cheang Mei Heng,Mr Poh Chun Leck,Mr Tay Juncheng Adrian,Mr Mohamad Amran Shah Bin Abd Rahim,Na,Na,Na,Every Eunoian A Youth With Purpose| Thinker With Heart| Leader With Courage,We Enable Students To Learn Continuously| Empower Students To Seek All-Round Excellence| And Embolden Students To Pursue Their Purpose.,Na,Bishan,North,North 1,Government School,Co-Ed School,Full Day,Junior College,No,No,No,Yes,Chinese,Malay,Tamil,Environmental Literacy Programme Leadership Advancement Programme Liberal Arts Programme Life Coaching Programme Passion Pursuit Stem Research Programme Talent Development Programme World Readiness Programme
Anderson Serangoon Junior College,www.asrjc.moe.edu.sg,4500 Ang Mo Kio Avenue 6,569843,64596822,na,64598734,na,asrjc@moe.edu.sg,Yio Chu Kang  ,13| 45| 86| 162| 269| 825| 851| 852| 853,Mr Manogaran S/O Suppiah,Na,Na,Na,Na,Na,Na,Na,Na,Na,Ang Mo Kio,North,North 5,Government School,Co-Ed School,Full Day,Junior College,No,No,No,No,Chinese,Malay,Tamil,Science Research And Enrichment Programme; Civics Education; Education & Career Guidance; Student Leadership Development & Talent Management Programme; Global Outreach Programme
Yishun Innova Junior College,http://www.yijc.moe.edu.sg/,3 Yishun Ring Road,768675,62579873,na,62574373,na,yijc@moe.edu.sg,Yishun| Khatib,800| 812| 167| 169| 171| 980,Mr Michael De Silva,Na,Na,Na,Na,Na,Na,Na,Na,Na,Yishun,North,North 8,Government School,Co-Ed School,Full Day,Junior College,No,No,No,No,Chinese,Malay,Tamil,Digital Literacies Programme| Student Leadership Development Programme| Humanities Experience| Science Programme| Talent Development Programme| Internationalisation Programme
Tampines Meridian Junior College,http://www.tmjc.moe.edu.sg,21 Pasir Ris Street 71,518799,63493660,na,63493667,na,na,Pasir Ris  ,3| 39| 53| 81| 89| 109| 358| 518,Miss Yoong Nyok Ke Pamela,Na,Na,Na,Na,Na,Na,Na,Na,Na,Pasir Ris,East,East 1,Government School,Co-Ed School,Full Day,Junior College,No,No,No,No,Chinese,Malay,Tamil,Character & Citizenship Development: Nurtures Students To Have A Personal Vision And Be Anchored In Values And Principles In The Pursuit Of Their Vision.  Educational & Career Guidance: Equips Every Student With The Knowledge And Skills To Make Informed Decisions About Their Future Pursuits| And Grooms Future Leaders And Scholars With The Capacity To Excel In Challenging Undertakings.  Leadership Development: Provides Opportunities For Students To Build And Develop Their Leadership Capacities.  Global Education: Provides Opportunities For Students To Be Exposed To Asia And The World So That They Are More Aware Of Singapore'S Global Position. The Programmes Also Develop 21St Century Competencies Of Global Awareness And Cross Cultural Skills And Sensitivities| And Inspire The Heart And Will To Lead And Serve In A Challenging World.  Seminar Series: Provides Opportunities For Students To Be Connected With Speakers From A Diverse Range Of Academic| Industrial And Social Fields That Will Allow Participants To Gain Deeper Knowledge On Local And Global Issues. These Seminars Are Also Platforms For Students To Develop As Critical Thinkers And Confident| Coherent Communicators In Engaging Visiting Speakers.  Values In Action & Service-Learning: Nurtures Students To Have The Passion To Serve And The Initiative To Take On Service-Learning.  Instructional Programme Enrichment: Fosters A Strong Culture Of Learning Through A Variety Of Departmental Enrichment Activities And Learning Journeys| Taking Learning Beyond The Classroom. These Include Olympiad Competitions| External Research Attachments And Summer Programmes.  Scholarships And Awards: In Addition To Moe Scholarships And Awards| Our College Also Offers Internal Scholarships.
Jurong Pioneer Junior College,http://jpjc.moe.edu.sg,21 Teck Whye Walk,688258,+65 6564 6878,na,+65 6765 1861,na,jpjc@moe.edu.sg,Choa Chu Kang,975| 190| 985,Dr Hang Kim Hoo,Na,Na,Na,Na,Na,Na,Na,Na,Na,Choa Chu Kang,West,West 2,Government School,Co-Ed School,Full Day,Junior College,No,No,No,No,Chinese,Malay,Tamil,Arts And Aesthetics; Science| Technology| Engineering And Mathematics (Stem) Programme; Talent Development Programme; Internationalisation Programme; Xinyao
Catholic Junior College,http://www.cjc.edu.sg,129 Whitley Road,297822,62524083,na,62537267,na,catholic_jc@moe.edu.sg,Toa Payoh,105| 132| 151| 153| 154| 156| 186| 996| 985,Mdm Chua Suan Gek Phyllis,Mr Tan Jek Suan,Mdm Kam Wai Chin,Mr Gan Thiam Soon Allan,Na,Na,Na,Building A Generation In Truth & Love: Every Cjcian To Be A Thinker With A Mission| Leader With A Heart,We Cultivate In Each Young Person The Skill And Attitude To Embrace Challenges Wisely And Courageously. We Foster A Community That Cares For The Dignity Of Young People| Nurturing Them To Be Men And Women Of Compassion. We Broaden Their Vision So That They Become Leaders Committed To Serve In Faith And With Integrity.,Na,Novena,South,South 5,Government-Aided Sch,Co-Ed School,Full Day,Junior College,No,No,No,No,Na,Na,Na,Religious / Ethics Programme Overseas Community Projects (10 Countries 2008) National Youth Achievement Award (Nyaa)  Integrated Leadership Development Col@C : Curriculum Online At Cjc
Anglo-Chinese Junior College,http://www.acjc.edu.sg,25 Dover Close East,139745,67750511,na,67775479,na,acjc@acjc.edu.sg,Buona Vista,74|95|100|105|106|111|145|147|191|196|198|602,Dr Chee Yan Hoon Shirleen,Mdm Seow Hong Kiang,Mrs Lee Bee Cheow,Ms Yee Tien Pao Jamie Amanda,Na,Na,Na,Noble Ambition And Character| For The Service Of God And Nation.,Acjc Is A Methodist Institution Committed To An All-Round Education Of The Highest Standards Based On Christian Principles And A Consciousness Of Self| Others And God.,Na,Queenstown,West,West 1,Government-Aided Sch,Co-Ed School,Full Day,Junior College,No,No,No,No,Na,Na,Na,Moe Music And Drama Elective| Moe Humanities And Pre-U Scholarships|  Science Research Programme| Acjc-A*Star Science Research Symposium| Humanities Symposia| Acjc-Edb Entrepreneurship Education Programme| Performing Arts Programme| Acjc Seminar Series| Extensive Community Involvement Programmes
