School_Name,Alp_Domain,Alp_Title,Domain 1,Llp_Title1,Domain 2,Llp_Title2
Admiralty Secondary School,Stem,Design Thinking Through Innovation And Technology,Community & Youth Leadership,Nurturing Mindful Leaders Through Community Outreach,Nil,Na
Ahmad Ibrahim Secondary School,Languages & Humanities,Critical Social Inquiry And Media Literacy,Sports & Outdoor Education,Character Development Through Outdoor Learning Experience (Ole),Nil,Na
Ang Mo Kio Secondary School,Stem,Environment Science & Technology,Music & Performing Arts,Integrated Arts Programme,Nil,Na
Anglo-Chinese School (Barker Road),Languages & Humanities,"Developing Effective Communicators Through Drama, Debates And Public Speaking",Sports & Outdoor Education,"Building Character Through Sports (Basketball, Rugby, Tennis And Water Polo) & Outdoor Education",Nil,Na
Assumption English School,Languages & Humanities,Speak English With Grace And Knowledge (Speak),Community & Youth Leadership,Community And Youth Leadership,Nil,Na
Bartley Secondary School,Stem,Chemical And Life Sciences (Perfumery),Community & Youth Leadership,I-Lead @ Bartley (Leadership Experience And Development),Nil,Na
Beatty Secondary School,Stem,Beattyians Think. Create. Innovate,Community & Youth Leadership,Beatty'S Leaders For Life Programme,Nil,Na
Bedok Green Secondary School,Stem,Ilnquire. Ilnnovate. Developing Scientific Thinking And Inquiry Skills Through Real-Life Applications,Music & Performing Arts,Passion Programme,Nil,Na
Bedok South Secondary School,InterdiscipliNilry,Project S.H.I.N.E -- An Integrated Student-Centred And Holistic Programme That Develops Innovation And Nurtures Empathy,Sports & Outdoor Education,Shape @ Bds: A School Of Healthy And Physically Educated Enthusiasts,Nil,Na
Bedok View Secondary School,Languages & Humanities,Global Awareness For The 21St Century @ Bv,Community & Youth Leadership,Good Values @ Bv,Nil,Na
Bendemeer Secondary School,Stem,Making Health Science Alive Through Authentic Problem-Based Learning,Community & Youth Leadership,Developing Student Leadership Through Service Learning,Nil,Na
Boon Lay Secondary School,Stem,Exploring Possibilities In Materials Science,Music & Performing Arts,Music & Performing Arts,Nil,Na
Bowen Secondary School,Business & Entrepreneurship,"Nurturing Creativity, Empathy And Enterprise Through Social Entrepreneurship",Community & Youth Leadership,Bowen Changemakers Programme,Nil,Na
Broadrick Secondary School,Stem,Broadrick Entrepreneurship In Stem,Community & Youth Leadership,"Confidence And Resilience (Care) Though Aesthetics, Community And Youth Leadership",Nil,Na
Bukit Batok Secondary School,Stem,Developing Proactive Problem-Solvers Who Care For Our World Through Stem,Community & Youth Leadership,Developing Community Youth Leadership Through Via - Journey To Become Respectful Leaders,Nil,Na
Bukit Merah Secondary School,Stem,Creative Robotics And Engineering,Sports & Outdoor Education,Character Development & Leadership Through Sports,Nil,Na
Bukit View Secondary School,Stem,Clean Energy And Environmental Technology,Music & Performing Arts,"Learning The Arts, Living The Values",Nil,Na
Canberra Secondary School,Aesthetics,Digital Media In Visual Arts,Community & Youth Leadership,Active Holistic Health Advocates (Ahhas) Championing Efforts Towards A Healthier Community,Nil,Na
Changkat Changi Secondary School,Stem,Programme Soar (Student Centered Opportunities For Aerospace Industry),Community & Youth Leadership,Service And Leadership Through School To Nation,Nil,Na
Chij St. Joseph'S Convent,Languages & Humanities,The Art Of Communication Through Theatre And Debates,Community & Youth Leadership,Buidling Critical And Creative Thinking Through Future-Problem Solving,Nil,Na
Chij St. Theresa'S Convent,InterdiscipliNilry,Education For Life – Developing Portable Skills Through And For Real World Problem Solving,Sports & Outdoor Education,"Developing Self-Directed, Confident And Resilient Leaders, Learners And Ladies Through Sports",Nil,Na
Christ Church Secondary School,Stem,Developing 21St Century Competencies Through An Inquiry Approach  In Health Science And Technology,Sports & Outdoor Education,Developing Social Emotional Learning Competencies Through Outdoor Adventure Learning,Nil,Na
Chua Chu Kang Secondary School,Stem,Robotics & Automation For A Better Tomorrow,Community & Youth Leadership,Student Leadership,Nil,Na
Chung Cheng High School (Yishun),Stem,Food And Science Technology,Music & Performing Arts,Cultivating Values Through Aesthetics,Nil,Na
Clementi Town Secondary School,Stem,Code: Computing To Discover And Empower,Community & Youth Leadership,Leadership Development Through Uniformed Groups,Nil,Na
Compassvale Secondary School,Stem,Aeronautics Applied Learning Programme,Community & Youth Leadership,Inspired North Stars Inspire Actions,Nil,Na
Damai Secondary School,Stem,Environmental & Health Sciences,Sports & Outdoor Education,"Character, Citizenship And Leadership Development Through Water Sports",Nil,Na
Deyi Secondary School,Languages & Humanities,"Pen It Down, Mike It Up!",Music & Performing Arts,Nurturing Confident Communicators And Gracious Citizens Through The Arts,Nil,Na
Dunearn Secondary School,Stem,Fscitech: Developing Dunearnites As Confident And Creative Young Scientists Through Food Science And Technology,Community & Youth Leadership,Every Dunearnite A Community Youth Leader,Nil,Na
East Spring Secondary School,Stem,"Harnessing Energy To Live, Work And Play",Community & Youth Leadership,Every Student A Leader,Nil,Na
