School_Name,Subject_Desc
National Junior College,H1 Biology
National Junior College,H1 Chemistry
National Junior College,H1 Chinese Language
National Junior College,H1 Economics
National Junior College,H1 Literature In English
National Junior College,H1 Geography
National Junior College,H1 General Paper
National Junior College,H1 History
National Junior College,H1 Mathematics
National Junior College,H1 Malay Language
National Junior College,H1 Physics
National Junior College,H1 Project Work
National Junior College,H1 Tamil Language
National Junior College,H2 Art
National Junior College,H2 Biology
National Junior College,H2 Chemistry
National Junior College,H2 Chinese Language & Literature
National Junior College,H2 Computing
National Junior College,H2 Economics
National Junior College,H2 Literature In English
National Junior College,H2 English Language And Linguistics
National Junior College,H2 Further Mathematics
National Junior College,H2 Geography
National Junior College,H2 History
National Junior College,H2 Knowledge & Inquiry
National Junior College,H2 Mathematics
National Junior College,H2 Malay Language & Literature
National Junior College,H2 Music
National Junior College,H2 Physics
National Junior College,H2 Tamil Language & Literature
National Junior College,H3 Art
National Junior College,H3 Proteomics
National Junior College,H3 Pharmaceutical Chemistry
National Junior College,H3 Economics
National Junior College,H3 Mathematics
National Junior College,H3 Essentials Of Modern Physics
Temasek Junior College,Aesthetics Education
Temasek Junior College,Biology
Temasek Junior College,Chemistry
Temasek Junior College,Chinese
Temasek Junior College,General Science
Temasek Junior College,Green Science
Temasek Junior College,Geography
Temasek Junior College,H1 Biology
Temasek Junior College,H1 Chemistry
Temasek Junior College,H1 Chinese Language
Temasek Junior College,H1 Economics
Temasek Junior College,H1 Literature In English
Temasek Junior College,H1 General Paper
Temasek Junior College,H1 History
Temasek Junior College,H1 Mathematics
Temasek Junior College,H1 Malay Language
Temasek Junior College,H1 Physics
Temasek Junior College,H1 Project Work
Temasek Junior College,H1 Tamil Language
Temasek Junior College,H2 Art
Temasek Junior College,H2 Biology
Temasek Junior College,H2 Chemistry
Temasek Junior College,H2 Chinese Language & Literature
Temasek Junior College,H2 Economics
Temasek Junior College,H2 Literature In English
Temasek Junior College,H2 Further Mathematics
Temasek Junior College,H2 Geography
Temasek Junior College,H2 History
Temasek Junior College,H2 Knowledge & Inquiry
Temasek Junior College,H2 Mathematics
Temasek Junior College,H2 Music
Temasek Junior College,H2 Physics
Temasek Junior College,H3 Art
Temasek Junior College,H3 Chinese Language & Literature
Temasek Junior College,H3 Economics
Temasek Junior College,H3 Literature In English
Temasek Junior College,H3 Geography
Temasek Junior College,H3 History
Temasek Junior College,H3 Mathematics
Temasek Junior College,H3 Music
Temasek Junior College,Higher Chinese
Temasek Junior College,History
Temasek Junior College,Higher Malay
Temasek Junior College,Higher Tamil
Temasek Junior College,Language Arts
Temasek Junior College,Malay
Temasek Junior College,Physics
Temasek Junior College,Music Elective Programme
Temasek Junior College,Tamil
Temasek Junior College,Skills And Knowledge
Victoria Junior College,Chinese B
Victoria Junior College,H1 China Studies In Chinese
Victoria Junior College,H1 China Studies In English
Victoria Junior College,H1 Biology
Victoria Junior College,H1 Chemistry
Victoria Junior College,H1 Chinese Language
Victoria Junior College,H1 Economics
Victoria Junior College,H1 Literature In English
Victoria Junior College,H1 French Language
Victoria Junior College,H1 Geography
Victoria Junior College,H1 German Language
Victoria Junior College,H1 General Paper
Victoria Junior College,H1 History
Victoria Junior College,H1 Japanese Language
Victoria Junior College,H1 Mathematics
Victoria Junior College,H1 Malay Language
Victoria Junior College,H1 Physics
Victoria Junior College,H1 Project Work
Victoria Junior College,H1 Tamil Language
Victoria Junior College,H2 China Studies In English
Victoria Junior College,H2 Art
Victoria Junior College,H2 Biology
Victoria Junior College,H2 Chemistry
Victoria Junior College,H2 Economics
Victoria Junior College,H2 Literature In English
Victoria Junior College,H2 French Language
Victoria Junior College,H2 Geography
Victoria Junior College,H2 German Language
Victoria Junior College,H2 History
Victoria Junior College,H2 Japanese Language
Victoria Junior College,H2 Knowledge & Inquiry
Victoria Junior College,H2 Mathematics
Victoria Junior College,H2 Physics
Victoria Junior College,H2 Tamil Language & Literature
Victoria Junior College,H2 Theatre Studies And Drama
Victoria Junior College,H3 Proteomics
Victoria Junior College,H3 Pharmaceutical Chemistry
Victoria Junior College,H3 Economics
Victoria Junior College,H3 Literature In English
