School_Name,Alp_Domain,Alp_Title,Llp_Domain1,Llp_Title1,Llp_Domain2,Llp_Title2
Admiralty Secondary School,Stem,Design Thinking Through Innovation And Technology,Community & Youth Leadership,Nurturing Mindful Leaders Through Community Outreach,Na,Na
Ahmad Ibrahim Secondary School,Languages & Humanities,Critical Social Inquiry And Media Literacy,Sports & Outdoor Education,Character Development Through Outdoor Learning Experience (Ole),Na,Na
Ang Mo Kio Secondary School,Stem,Environment Science & Technology,Music & Performing Arts,Integrated Arts Programme,Na,Na
Anglo-Chinese School (Barker Road),Languages & Humanities,"Developing Effective Communicators Through Drama, Debates And Public Speaking",Sports & Outdoor Education,"Building Character Through Sports (Basketball, Rugby, Tennis And Water Polo) & Outdoor Education",Na,Na
Assumption English School,Languages & Humanities,Speak English With Grace And Knowledge (Speak),Community & Youth Leadership,Community And Youth Leadership,Na,Na
Bartley Secondary School,Stem,Chemical And Life Sciences (Perfumery),Community & Youth Leadership,I-Lead @ Bartley (Leadership Experience And Development),Na,Na
Beatty Secondary School,Stem,Beattyians Think. Create. Innovate,Community & Youth Leadership,Beatty'S Leaders For Life Programme,Na,Na
Bedok Green Secondary School,Stem,Ilnquire. Ilnnovate. Developing Scientific Thinking And Inquiry Skills Through Real-Life Applications,Music & Performing Arts,Passion Programme,Na,Na
Bedok South Secondary School,Interdisciplinary,Project S.H.I.N.E -- An Integrated Student-Centred And Holistic Programme That Develops Innovation And Nurtures Empathy,Sports & Outdoor Education,Shape @ Bds: A School Of Healthy And Physically Educated Enthusiasts,Na,Na
Bedok View Secondary School,Languages & Humanities,Global Awareness For The 21St Century @ Bv,Community & Youth Leadership,Good Values @ Bv,Na,Na
Bendemeer Secondary School,Stem,Making Health Science Alive Through Authentic Problem-Based Learning,Community & Youth Leadership,Developing Student Leadership Through Service Learning,Na,Na
Boon Lay Secondary School,Stem,Exploring Possibilities In Materials Science,Music & Performing Arts,Music & Performing Arts,Na,Na
Bowen Secondary School,Business & Entrepreneurship,"Nurturing Creativity, Empathy And Enterprise Through Social Entrepreneurship",Community & Youth Leadership,Bowen Changemakers Programme,Na,Na
